period: 271   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 272   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 273   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 274   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 275   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 276   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 277   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 278   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 279   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 280   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 281   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 282   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 283   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 284   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 285   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 286   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 287   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 288   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 289   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 290   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 291   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 292   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 293   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 294   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 295   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 296   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
